,COUNTY,STATE,5/17/20,POPULATION,infection_rate
492,Muscogee County,Georgia,424,196670.0,0.0021558956627853766
493,Newton County,Georgia,259,106497.0,0.0024319933894851498
494,Oconee County,Georgia,79,37017.0,0.0021341545776264958
495,Oglethorpe County,Georgia,55,14784.0,0.003720238095238095
496,Paulding County,Georgia,241,155840.0,0.001546457905544148
497,Peach County,Georgia,69,26966.0,0.0025587777200919678
498,Pickens County,Georgia,35,30832.0,0.0011351842241826675
499,Pierce County,Georgia,71,19164.0,0.0037048632853266543
500,Pike County,Georgia,44,18082.0,0.0024333591416878663
501,Polk County,Georgia,79,41621.0,0.0018980802960044208
502,Pulaski County,Georgia,36,11295.0,0.0031872509960159364
503,Putnam County,Georgia,77,21503.0,0.003580895688973632
504,Quitman County,Georgia,8,2276.0,0.0035149384885764497
505,Rabun County,Georgia,15,16457.0,0.0009114662453667133
506,Randolph County,Georgia,169,7087.0,0.023846479469451107
507,Richmond County,Georgia,490,201463.0,0.0024322083955862863
508,Rockdale County,Georgia,249,89011.0,0.002797407062048511
509,Schley County,Georgia,16,5211.0,0.003070427940894262
510,Screven County,Georgia,19,13990.0,0.0013581129378127234
511,Seminole County,Georgia,40,8437.0,0.004741021690174233
512,Spalding County,Georgia,239,64719.0,0.0036928877145814983
513,Stephens County,Georgia,107,25676.0,0.004167315781274342
514,Stewart County,Georgia,37,6042.0,0.006123800066203244
515,Sumter County,Georgia,415,30352.0,0.013672904586188719
516,Talbot County,Georgia,28,6378.0,0.004390090937597993
517,Taliaferro County,Georgia,1,1665.0,0.0006006006006006006
518,Tattnall County,Georgia,11,25353.0,0.00043387370330927305
519,Taylor County,Georgia,22,8193.0,0.0026852190894666177
520,Telfair County,Georgia,29,16115.0,0.0017995656220912194
521,Terrell County,Georgia,199,8859.0,0.022463031944914776
522,Thomas County,Georgia,283,44730.0,0.006326849988821819
523,Tift County,Georgia,181,40510.0,0.004468032584547026
524,Toombs County,Georgia,44,27048.0,0.001626737651582372
525,Towns County,Georgia,21,11417.0,0.0018393623543838135
526,Treutlen County,Georgia,8,6777.0,0.0011804633318577543
527,Troup County,Georgia,200,69774.0,0.002866397225327486
528,Turner County,Georgia,81,7962.0,0.010173323285606632
529,Twiggs County,Georgia,9,8284.0,0.0010864316755190729
530,Union County,Georgia,36,22775.0,0.0015806805708013171
531,Upson County,Georgia,260,26216.0,0.009917607567897467
532,Walker County,Georgia,74,68824.0,0.0010752063233755668
533,Walton County,Georgia,158,90132.0,0.0017529845116052013
534,Ware County,Georgia,171,35599.0,0.004803505716452709
535,Warren County,Georgia,16,5346.0,0.0029928918817807705
536,Washington County,Georgia,63,20461.0,0.003079028395484092
537,Wayne County,Georgia,14,29767.0,0.0004703194813048006
538,Webster County,Georgia,11,2613.0,0.004209720627631076
539,Wheeler County,Georgia,7,7939.0,0.0008817231389343746
540,White County,Georgia,89,28928.0,0.003076603982300885
541,Whitfield County,Georgia,180,103849.0,0.0017332858284624792
542,Wilcox County,Georgia,95,8846.0,0.010739317205516618
543,Wilkes County,Georgia,28,9884.0,0.0028328611898017
544,Wilkinson County,Georgia,45,9078.0,0.00495703899537343
545,Worth County,Georgia,196,20656.0,0.009488768396591789
546,Hawaii County,Hawaii,77,197658.0,0.0003895617683068735
547,Honolulu County,Hawaii,415,987638.0,0.00042019444371318234
548,Kalawao County,Hawaii,0,75.0,0.0
549,Kauai County,Hawaii,21,71377.0,0.0002942124213682279
550,Maui County,Hawaii,117,165281.0,0.0007078853588736758
551,Ada County,Idaho,773,446052.0,0.001732981804811995
552,Adams County,Idaho,3,4019.0,0.0007464543418760885
553,Bannock County,Idaho,14,85065.0,0.0001645800270381473
554,Bear Lake County,Idaho,0,5962.0,0.0
555,Benewah County,Idaho,0,9086.0,0.0
556,Bingham County,Idaho,6,45551.0,0.00013172048912208294
557,Blaine County,Idaho,508,21994.0,0.02309720832954442
558,Boise County,Idaho,0,7163.0,0.0
559,Bonner County,Idaho,4,42711.0,9.3652689002833e-05
560,Bonneville County,Idaho,33,112397.0,0.0002936021424059361
561,Boundary County,Idaho,0,11549.0,0.0
562,Butte County,Idaho,0,2602.0,0.0
563,Camas County,Idaho,1,886.0,0.001128668171557562
564,Canyon County,Idaho,277,212230.0,0.0013051877679875607
565,Caribou County,Idaho,1,6918.0,0.00014455044810638914
566,Cassia County,Idaho,18,23615.0,0.0007622273978403557
567,Clark County,Idaho,0,1077.0,0.0
568,Clearwater County,Idaho,0,8640.0,0.0
569,Custer County,Idaho,2,4141.0,0.0004829751267809708
